NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
227,E4220200223201,県立佐世保西高等学校,長崎県佐世保市田原町130-1,,1,,1,,1,,,1,33.20943611,129.7201972,
228,E4220200225201,島瀬公園,長崎県佐世保市島瀬町1000-14,,,,1,,1,,,,33.17241389,129.7207444,
229,E4220200226201,東公園,長崎県佐世保市東山町182-1,,,,1,1,1,,,,33.15433333,129.7416917,
230,E4220200227201,大久保小学校,長崎県佐世保市東大久保町9-10,,1,,1,,1,,,1,33.17793056,129.7099444,
231,E4220200228201,東浜公園,長崎県佐世保市東浜町10-2,,,,1,1,1,,,,33.13334722,129.7408222,
232,E4220200229201,楠木公園,長崎県佐世保市楠木町619,,,,1,1,1,,,,33.21943611,129.7214278,
233,E4220200230201,日宇中学校,長崎県佐世保市日宇町2181,,1,,1,,1,,,1,33.164325,129.7638667,
234,E4220200231201,県立佐世保南高等学校,長崎県佐世保市日宇町2526,,1,,1,,1,,,1,33.161325,129.7668667,
235,E4220200232201,日宇ヶ丘第二公園,長崎県佐世保市日宇町2810-255,,,,1,1,1,,,,33.15881111,129.7701417,
236,E4220200233201,日宇小学校,長崎県佐世保市日宇町284,,1,,1,,1,,,1,33.16390278,129.7563889,
237,E4220200234201,日宇スポーツセンター,長崎県佐世保市日宇町522-1,,1,,,,,,,1,33.15650833,129.7546917,
238,E4220200235201,日宇地区コミュニティセンター,長崎県佐世保市日宇町675-2,,1,,,,,,,1,33.15776111,129.7583889,
239,E4220200236201,日野小学校,長崎県佐世保市日野町1308,1,1,,1,,1,,,1,33.1724,129.6781222,
240,E4220200237201,日野中学校,長崎県佐世保市日野町2079,1,1,,1,1,1,,,1,33.17088889,129.6680472,
241,E4220200238201,日野第二公園,長崎県佐世保市日野町52-176,,,,1,1,1,,,,33.17293056,129.6820611,
242,E4220200239201,日野東公園,長崎県佐世保市日野町80-1,,,,1,1,1,,,,33.17004722,129.6813222,
243,E4220200240201,県立佐世保中央高等学校,長崎県佐世保市梅田町10-14,,1,,1,,1,,,1,33.18880278,129.7171917,
244,E4220200241201,梅田公園,長崎県佐世保市梅田町166-1,,,,1,1,1,,,,33.19143333,129.7173111,
245,E4220200242201,宮地区コミュニティセンター　体育室,長崎県佐世保市萩坂町1782-1,,1,,,,,,,1,33.086530227589,129.81540023995,
246,E4220200243201,白岳公園,長崎県佐世保市白岳町104,,,,1,,1,,,,33.152925,129.7507528,
247,E4220200244201,県立佐世保北高等学校,長崎県佐世保市八幡町6-31,1,1,,1,,1,,,1,33.18111111,129.7188306,
248,E4220200245201,比良公園,長崎県佐世保市比良町1000-5,,,,1,1,1,,,,33.176825,129.7131,
249,E4220200246201,久田学園佐世保女子高等学校,長崎県佐世保市比良町21-1,,,,1,,1,,,1,33.18040833,129.7107611,
250,E4220200247201,旧俵浦小学校,長崎県佐世保市俵ヶ浦町442,,,,1,1,1,,,,33.123325,129.6751111,
251,E4220200248201,俵ヶ浦公園,長崎県佐世保市俵ヶ浦町623-1,,,,1,1,1,,,,33.11931944,129.6715028,
252,E4220200249201,浜田公園,長崎県佐世保市浜田町1000-5,,,,1,,1,,,,33.17515833,129.7164806,
253,E4220200250201,佐世保公園,長崎県佐世保市平瀬町13,,,,1,,1,,,,33.17088056,129.7177556,
254,E4220200251201,清水小学校,長崎県佐世保市保立町10-1,1,1,,1,,1,,,1,33.18793056,129.7149222,
255,E4220200252202,清水地区コミュニティセンター,長崎県佐世保市保立町12-31,1,1,,,,,,,1,33.18631111,129.7142361,
256,E4220200252201,総合教育センター,長崎県佐世保市保立町12-31,1,1,,,,,,,1,33.18610278,129.7144472,
257,E4220200253201,佐世保実業高等学校,長崎県佐世保市母ヶ浦町888-1,1,1,,1,,1,,,1,33.17981389,129.6809222,
258,E4220200254201,清水中学校,長崎県佐世保市万徳町9-7,,1,,1,,1,,,1,33.18436111,129.7153361,
259,E4220200255201,木場田公園,長崎県佐世保市木場田町1000-6,,,,1,1,1,,,,33.17980278,129.7143444,
260,E4220200256201,木風小学校,長崎県佐世保市木風町180,,1,,1,,1,,,1,33.16707222,129.7416111,
261,E4220200257201,旧野崎中学校,長崎県佐世保市野崎町2916,1,1,,1,1,1,,,1,33.11911389,129.6866722,
262,E4220200258201,野中東公園,長崎県佐世保市野中町５６０外,,,,1,1,1,,,,33.21409167,129.7120583,
263,E4220200259201,矢峰公園,長崎県佐世保市矢峰町100-2,,,,1,1,1,,,,33.21041111,129.7440278,
264,E4220200260201,汐見台第四公園,長崎県佐世保市有福町4149-31,,,,1,,1,,,,33.12775278,129.7927444,
265,E4220200261201,汐見台第一公園,長崎県佐世保市有福町4169-68,,,,1,1,1,,,,33.134375,129.7929278,
266,E4220200262201,有福第一公園,長崎県佐世保市有福町589-2,,,,1,1,1,,,,33.13246667,129.7883028,
267,E4220200263201,江上地区コミュニティセンター　体育室,長崎県佐世保市有福町827,,1,,,,,,,1,33.133225,129.7846722,
268,E4220200264201,柚木地区コミュニティセンター　体育室,長崎県佐世保市柚木町1434-1,,1,,,,,,,1,33.209475,129.7628333,
269,E4220200265201,柚木中学校,長崎県佐世保市柚木町2063,,1,,1,,1,,,1,33.21125833,129.7657,
270,E4220200266201,柚木地区コミュニティセンター,長崎県佐世保市柚木町2088-2,,1,,,,,,,1,33.21042222,129.7642083,
